pid,bonus,completed,startTime,feedback,total_time
0,1.56,True,Fri Mar 08 2019 14:53:42 GMT-0600 (Central Standard Time),action,13.369283333333334
1,1.77,True,Fri Mar 08 2019 14:47:02 GMT-0600 (Central Standard Time),none,14.161166666666666
2,0.26,True,Fri Mar 08 2019 14:40:03 GMT-0600 (Central Standard Time),none,18.670616666666668
3,1.05,True,Fri Mar 08 2019 11:51:48 GMT-0800 (Pacific Standard Time),action,14.299333333333333
4,1.82,True,Fri Mar 08 2019 15:32:29 GMT-0500 (Eastern Standard Time),meta,25.0635
5,1.74,True,Fri Mar 08 2019 14:14:42 GMT-0500 (Eastern Standard Time),none,10.963516666666667
6,1.67,True,Fri Mar 08 2019 16:43:43 GMT-0500 (Eastern Standard Time),action,29.038566666666668
7,0.0,False,Fri Mar 08 2019 16:01:06 GMT-0600 (Central Standard Time),meta,
8,0.0,True,Fri Mar 08 2019 16:45:49 GMT-0600 (Central Standard Time),action,27.6622
9,1.71,True,Fri Mar 08 2019 17:30:49 GMT-0500 (Eastern Standard Time),action,20.04158333333333
10,1.66,True,Fri Mar 08 2019 18:48:03 GMT-0500 (Eastern Standard Time),meta,21.101366666666667
11,1.59,True,Fri Mar 08 2019 15:34:23 GMT-0500 (Eastern Standard Time),none,11.659766666666666
12,1.57,True,Fri Mar 08 2019 15:20:52 GMT-0600 (Central Standard Time),meta,13.8481
13,1.66,True,Fri Mar 08 2019 15:36:54 GMT-0500 (Eastern Standard Time),none,18.50186666666667
14,1.66,True,Fri Mar 08 2019 12:45:14 GMT-0800 (Pacific Standard Time),none,12.496416666666667
15,1.73,True,Fri Mar 08 2019 15:35:08 GMT-0500 (Eastern Standard Time),none,12.708833333333333
16,1.62,True,Fri Mar 08 2019 14:45:11 GMT-0600 (Central Standard Time),action,17.6434
17,1.51,True,Fri Mar 08 2019 15:42:30 GMT-0500 (Eastern Standard Time),action,25.6439
18,1.74,True,Fri Mar 08 2019 15:35:53 GMT-0500 (Eastern Standard Time),action,39.928533333333334
19,1.48,True,Fri Mar 08 2019 15:37:27 GMT-0500 (Eastern Standard Time),action,16.270733333333332
20,1.49,True,Fri Mar 08 2019 16:28:56 GMT-0500 (Eastern Standard Time),meta,18.92545
21,0.02,True,Fri Mar 08 2019 15:29:19 GMT-0600 (Central Standard Time),meta,24.724166666666665
22,1.36,True,Fri Mar 08 2019 11:21:21 GMT-0800 (Pacific Standard Time),action,19.5609
23,1.66,True,Fri Mar 08 2019 15:35:02 GMT-0500 (Eastern Standard Time),meta,20.1197
24,1.41,True,Fri Mar 08 2019 16:37:56 GMT-0500 (Eastern Standard Time),none,10.833816666666667
25,1.73,True,Fri Mar 08 2019 12:38:29 GMT-0600 (Central Standard Time),none,13.217416666666667
26,1.63,True,Fri Mar 08 2019 14:55:46 GMT-0600 (Central Standard Time),action,16.476583333333334
